index,age,elimination,first_name,hometown,name,name_abbreviation,occupation,season
23,31,1,Keith,"Baltimore, Maryland",Keith,Keith,Financial Analyst,2
24,35,1,Trever,"North Wales, Pennsylvania",Trever,Trever,Restaurateur,2
0,26,Winner,Jesse,"Breckenridge, Colorado",Jesse Csincsak,Jesse C.,Professional snowboarder,4
1,31,8,Jason,"Cleveland, Ohio",Jason Mesnick,Jason M.,Account executive,4
2,30,7,Jeremy,"Dallas, Texas",Jeremy Anderson,Jeremy A.,Real estate attorney,4
3,29,6,Graham,"Raleigh, North Carolina",Graham Bunn,Graham B.,Professional basketball player,4
4,33,5,Sean,"Louisville, Kentucky",Sean Ramey,Sean R.,Martial artist,4
5,33,5,Blaine,"Tulsa, Oklahoma",Blaine Twilley,Blaine T.,Debt manager,4
6,31,4,Brian,"Balch Springs, Texas",Brian Westendorf,Brian W.,High school football coach,4
7,30,4,Frederick,"Skokie, Illinois","Frederick ""Fred"" Greif",Frederick G.,Lawyer,4
8,28,4,Robert,"San Francisco, California",Robert Fair,Robert F.,Chef,4
9,23,3,Paul,"Bonnyville, Alberta",Paul Brosseau,Paul B.,Sales manager,4
10,27,3,Richard,"Sauquoit, New York",Richard Mathy,Richard M.,Science teacher,4
11,36,3,Ronald,"Greeley, Colorado",Ronald Mayer,Ronald M.,Barber shop owner,4
12,29,2,Christopher,"Fort Worth, Texas","Christopher ""Chris"" Bradshaw",Christopher B.,Medical sales rep.,4
13,32,2,Eric,"Boston, Massachusetts",Eric Papachristos,Eric P.,Senior analyst,4
14,28,2,Ryan,"Minneapolis, Minnesota",Ryan Hoag ,Ryan H.,Professional football player,4
15,29,1,Brian,"New Castle, Indiana",Brian Winchester,Brian W.,Computer network consultant,4
16,25,1,Chandler,"Virginia Beach, Virginia",Chandler Fulton,Chandler F.,Insurance rep.,4
17,26,1,Donato,"Lexington, South Carolina",Donato Capodanno,Donato C.,Sales rep.,4
18,28,1,Gregory,"Rockport, Massachusetts","Gregory ""Greg"" Matthew",Gregory M.,Personal trainer,4
19,27,1,Jeffrey,"Miami, Florida",Jeffrey Harris,Jeffrey H.,Mathematics teacher,4
20,35,1,Jonathan,"Williston, North Dakota","Jonathan ""Jon"" Konkel",Jonathan K.,Resort manager,4
21,27,1,Luke,"Faith, North Carolina",Luke Hamilton,Luke H.,Oyster farmer,4
22,26,1,Patrick,"Glenwood, Illinois",Patrick Carlson,Patrick C.,Financial analyst,4
23,27,1,Patrick,"Elmhurst, Illinois",Patrick Durrere,Patrick D.,Internet marketing,4
24,38,1,Spero,"Ellington, Connecticut",Spero Stamboulis,Spero S.,Actor,4
0,29,7,Ed,"Monroe, Michigan",Ed Swiderski  ,Ed S.,Technology Consultant,5
1,31,Runner-up,Kiptyn,"Encinitas, California",Kiptyn Locke ,Kiptyn L.,Business Developer,5
2,30,9,Reid,"Upper Dublin, Pennsylvania",Reid Rosenthal ,Reid R.,Realtor,5
3,32,8,Wes,"Huntsville, Texas",Wes Hayden  ,Wes H.,Musician,5
4,27,7,Jesse,"Carmel Valley, California",Jesse Kovacs ,Jesse K.,Wine Maker,5
5,25,7,Michael,"Tacoma, Washington",Michael Stagliano ,Michael S.,Break Dance Instructor,5
6,31,6,Jake,"Dallas, Texas",Jake Pavelka ,Jake P.,Commercial Pilot,5
7,30,6,Tanner,"Brownfield, Texas",Tanner Pope ,Tanner P.,Financial Analyst,5
8,25,6,Robby,"Spring, Texas",Robby Descant ,Robby D.,Bartender,5
9,26,5,Mark,"Woodstock, Illinois",Mark Huebner ,Mark H.,Pizza Entrepreneur,5
